"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: Velocity 2 (m/s)","Latest: Acceleration 2 (m/s²)","Latest: GateState 2","Latest: Distance 2 (m)","Latest: Velocity 1 (m/s)","Latest: Acceleration 1 (m/s²)"
2.766333,1,0,,,,,,
2.777862,0,,,,,,,
2.791169,1,0.05,,,,,,
2.802307,0,,,,,,,
2.943309,,,,,1,0,,
2.953062,,,,,0,,,
2.963381,,,,,1,0.05,,
2.972913,,,,,0,,,
