"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: Velocity 2 (m/s)","Latest: Acceleration 2 (m/s²)","Latest: GateState 2","Latest: Distance 2 (m)","Latest: Velocity 1 (m/s)","Latest: Acceleration 1 (m/s²)"
2.762004,1,0,,,,,,
2.77145,0,,,,,,,
2.782382,1,0.05,,,,,,
2.79151,0,,,,,,,
2.906308,,,,,1,0,,
2.914258,,,,,0,,,
2.922677,,,,,1,0.05,,
2.930457,,,,,0,,,
