"Latest: Time (s)","Latest: Volume (mL)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: Velocity 2 (m/s)","Latest: Acceleration 2 (m/s²)","Latest: GateState 2","Latest: Distance 2 (m)","Latest: Velocity 1 (m/s)","Latest: Acceleration 1 (m/s²)"
11.942771,,1,0,,,,,,
11.969241,,0,,,,,,,
12.000889,,1,0.05,,,,,,
12.027463,,0,,,,,,,
13.082696,,,,,,1,0,,
13.146204,,,,,,0,,,
13.214615,,,,,,1,0.05,0.330895284739,-0.729617034478
13.278873,,,,,,0,,,
13.930091,,,,,,1,0.1,0.313181327593,0.680100468874
13.997123,,,,,,0,,,
14.06884,,,,,,1,0.15,,
14.136902,,,,,,0,,,
