"Latest: Time (s)","Latest: Volume (mL)","Latest: GateState 2","Latest: Distance 2 (m)","Latest: Velocity 1 (m/s)","Latest: Acceleration 1 (m/s²)"
11.918976,1,,,,
11.946869,0,,,,
11.979097,1,,,,
12.007028,0,,,,
13.560161,,1,0,,
13.589996,,0,,,
13.622473,,1,0.05,0.788760176612,-0.438229672557
13.652386,,0,,,
17.157682,,1,0.1,0.650034497854,0.359747365707
17.193852,,0,,,
17.23303,,1,0.15,,
17.269111,,0,,,
19.196521,1,,,,
19.233007,0,,,,
19.275224,1,,,,
19.311688,0,,,,
