"Latest: Time (s)","Latest: Volume (mL)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: Velocity 2 (m/s)","Latest: Acceleration 2 (m/s²)","Latest: GateState 2","Latest: Distance 2 (m)","Latest: Velocity 1 (m/s)","Latest: Acceleration 1 (m/s²)"
12.932572,,1,0,,,,,,
12.954138,,0,,,,,,,
12.980016,,1,0.05,,,,,,
13.001721,,0,,,,,,,
13.78485,,,,,,1,0,,
13.835794,,,,,,0,,,
13.890467,,,,,,1,0.05,0.413798283448,-1.12880224622
13.941842,,,,,,0,,,
14.471041,,,,,,1,0.1,0.397000725642,1.07093689984
14.524103,,,,,,0,,,
14.580751,,,,,,1,0.15,,
14.634407,,,,,,0,,,
